Taxon;Order;Age;Body_mass;FAD;LAD;From_272Ma;EQ_noOB;EQ_OB
Burnetiamorpha_indet.;Other;Wuchiapingian;5219;256.2;255.2;15.8;0.86;NA
Lemurosaurus_pricei;Other;Wuchiapingian;1327;256.2;255.2;15.8;0.94;NA
Leucocephalus_wewersi;Other;Capitanian;5348;259.3;256.2;12.7;0.66;NA
Moschognathus_whaitsi;Other;Capitanian;128655;260.8;260.2;11.2;0.99;NA
Struthiocephalus_whaitsi;Other;Capitanian;288176;262.3;260.2;9.7;0.95;NA
Moschops_capensis;Other;Capitanian;426261;262.3;260.2;9.7;1.34;NA
Jonkeria_truculenta;Other;Capitanian;989225;260.8;260.2;11.2;0.98;NA
Anteosaurus_magnificus;Other;Capitanian;403587;262.3;260.2;9.7;1.66;NA
Pristerodon_mackayi;Dicynodontia;Capitanian;1358;262.3;253;9.7;1.14;1.15
Abajudon_kaayai;Dicynodontia;Capitanian;6901;262.3;260.2;9.7;1.44;1.49
Diictodon_feliceps;Dicynodontia;Capitanian;1283;262.3;251.9;9.7;0.83;0.96
Niassodon_mfumukasi;Dicynodontia;Capitanian;491;260;259;12;1.11;NA
Rastodon_procurvidens;Dicynodontia;Capitanian;1985;260;259;12;0.68;0.72
Palemydops_sp.;Dicynodontia;Capitanian;922;262.3;259;9.7;1.25;1.41
Dicynodontoides_sp.;Dicynodontia;Capitanian;4760;260.3;251.9;11.7;1.27;1.35
Kingoria_nowacki;Dicynodontia;Capitanian;6544;260;259;12;1.39;1.44
Kombuisia_frerensis;Dicynodontia;Anisian;1317;247.2;245;24.8;1.34;1.43
Myosaurus_gracilis1;Dicynodontia;Induan;305;251.9;250;20.1;1.31;1.49
Myosaurus_gracilis2;Dicynodontia;Induan;138.54;251.9;250;20.1;1.95;2.08
Kembawacela_kitchingi;Dicynodontia;Wuchiapingian;349;256.2;255.2;15.8;2.41;2.46
Kembawacela_yajuwayeyi;Dicynodontia;Wuchiapingian;252.61;256.2;255.2;15.8;1.77;1.94
Cistecephalus_microrhinus;Dicynodontia;Wuchiapingian;497.34;256.2;255.2;15.8;2.19;2.39
Kawingasaurus_fossilis1;Dicynodontia;Wuchiapingian;204;256.2;255.2;15.8;1.91;2.07
Kawingasaurus_fossilis2;Dicynodontia;Wuchiapingian;212;256.2;255.2;15.8;1.9;2.01
Daptocephalus_sp.;Dicynodontia;Wuchiapingian;2851;255.2;251.9;16.8;1.19;1.24
Dicynodon_sp.;Dicynodontia;Wuchiapingian;4165.27;255.2;253.5;16.8;1.73;1.79
Gordonia_traquairi;Dicynodontia;Changhsingian;11882;254;253;18;1.22;NA
Permian_Lystrosauridae;Dicynodontia;Changhsingian;15285;253;252;19;1.15;1.19
Lystrosaurus_maccaigi1;Dicynodontia;Changhsingian;13193;253;251.7;19;1.29;1.33
Lystrosaurus_maccaigi2;Dicynodontia;Changhsingian;23242;254;251.7;18;0.97;0.99
Lystrosaurus_declivis1;Dicynodontia;Induan;3555;251.9;251.2;20.1;1.09;1.11
Lystrosaurus_declivis2;Dicynodontia;Changhsingian;18511;254;251.7;18;1.31;1.36
Lystrosaurus_murrayi1;Dicynodontia;Induan;3416;251.9;251.2;20.1;1.16;1.21
Lystrosaurus_murrayi2;Dicynodontia;Induan;2593;251.9;251.2;20.1;0.95;0.97
Lystrosaurus_murrayi3;Dicynodontia;Induan;8825;251.9;251.2;20.1;1.21;NA
Kannemyeria_simocephalus;Dicynodontia;Anisian;2165;247.2;242;24.8;NA;2.38
Eriphostoma_microdon;Theriodontia;Capitanian;6129;262.3;259.3;9.7;0.69;0.88
Gorgonopsia_indet.;Theriodontia;Wuchiapingian;3043;256.2;255.2;15.8;1.42;NA
Aelurosaurus_sp.;Theriodontia;Capitanian;7255;260.3;256.3;11.7;1.03;NA
Cyonosaurus_sp.;Theriodontia;Wuchiapingian;8637;256.2;251.9;15.8;NA;1.04
Olivierosuchus_parringtoni;Theriodontia;Induan;4165;251.9;251.2;20.1;0.75;0.87
Moschorhinus_kitchingi;Theriodontia;Changhsingian;31771;254;251.7;18;1;1.05
Theriognathus_microps;Theriodontia;Wuchiapingian;18983.66;255.2;251.9;16.8;1.15;1.36
Theriognathus_microps2;Theriodontia;Wuchiapingian;100917.27;255.2;251.9;16.8;1.08;1.17
Mupashi_migrator;Theriodontia;Wuchiapingian;1883;260;259;12;0.7;0.8
Tetracynodon_darti1;Theriodontia;Induan;710.42;251.9;251.6;20.1;0.57;0.61
Tetracynodon_darti2;Theriodontia;Induan;1317;251.9;251.6;20.1;1.23;1.32
